"Prey_ID","Pike_ID","Date","Species","encounter_count_high_conf","encounter_count_probable","encounter_count_possible","daily_avg_dist","daily_min_dist"
"F59818","F59895",2022-10-08,"Roach",16,125,297,21.5968120496528,1.47675574482492
"F59818","F59895",2022-10-09,"Roach",0,30,144,28.4665068582578,3.93896051738
"F59818","F59895",2022-10-10,"Roach",0,14,76,26.4060751335357,4.17875243123603
"F59818","F59895",2022-10-11,"Roach",0,139,130,19.5541692421418,3.13949698711988
"F59818","F59895",2022-10-12,"Roach",38,601,413,15.1147384128802,1.33407559290846
"F59818","F59895",2022-10-13,"Roach",0,30,223,17.5432773106017,4.32613024660447
"F59818","F59895",2022-10-14,"Roach",0,18,104,22.7915353276032,3.73077942831062
"F59818","F59895",2022-10-15,"Roach",1,43,165,16.3450209334821,2.57294885044888
"F59818","F59895",2022-10-16,"Roach",0,6,47,19.3926120701594,4.30191222110162
"F59818","F59895",2022-10-17,"Roach",4,124,203,17.2927966747269,1.08060629062087
"F59818","F59895",2022-10-18,"Roach",0,13,61,18.6587741063637,5.06461417915594
"F59818","F59895",2022-10-19,"Roach",20,85,251,17.1428498827807,1.36620095322223
"F59818","F59895",2022-10-20,"Roach",0,0,22,18.6337335172108,7.24173064991592
"F59818","F59895",2022-10-21,"Roach",0,0,2,28.0784692461466,7.76339474630898
"F59818","F59895",2022-10-22,"Roach",0,3,11,23.6202263054811,4.01137370827715
"F59818","F59895",2022-10-23,"Roach",4,22,95,16.3097411249654,1.65118592479878
"F59818","F59895",2022-10-24,"Roach",0,9,40,21.8373464450496,4.39790920121544
"F59818","F59895",2022-10-25,"Roach",0,0,10,19.5997366081259,8.45599124350574
"F59818","F59895",2022-10-26,"Roach",2,37,92,23.7169979181674,2.24175634652764
"F59818","F59895",2022-10-27,"Roach",4,76,68,23.1932910061554,2.72216254402415
"F59818","F59895",2022-10-28,"Roach",2,36,112,13.7592293920823,2.89253642861146
"F59818","F59895",2022-10-29,"Roach",11,22,58,20.8450577265248,1.57759970964373
"F59818","F59896",2022-09-27,"Roach",0,20,278,20.7577579460473,3.55696788625931
"F59818","F59896",2022-09-28,"Roach",3,34,178,23.2216566881659,1.66085324976083
"F59818","F59896",2022-09-29,"Roach",94,239,185,21.9186049764845,0.496592653566631
"F59818","F59896",2022-09-30,"Roach",102,127,454,23.002925311591,0.617864023945513
"F59818","F59896",2022-10-01,"Roach",35,197,171,24.5003184241056,1.17626001200365
"F59818","F59896",2022-10-02,"Roach",13,24,104,23.030275440088,1.42751071459822
"F59818","F59896",2022-10-03,"Roach",23,130,363,17.7824284071201,1.12322312711821
"F59818","F59896",2022-10-04,"Roach",0,8,64,25.184306953656,3.10212065596216
"F59818","F59896",2022-10-05,"Roach",42,256,196,23.868103160402,1.02700222498375
"F59818","F59896",2022-10-06,"Roach",113,384,521,21.6540643797169,1.48880398247499
"F59818","F59896",2022-10-07,"Roach",14,168,354,21.5399503399285,1.21421424349536
"F59818","F59896",2022-10-08,"Roach",8,164,406,18.1170377489117,1.43490960683323
"F59818","F59896",2022-10-09,"Roach",29,330,323,18.224686345018,1.71021431037328
"F59818","F59896",2022-10-10,"Roach",62,356,414,15.3888975425898,1.44562276154432
"F59818","F59896",2022-10-11,"Roach",103,326,460,15.1505798663189,0.247427961151766
"F59818","F59896",2022-10-12,"Roach",71,199,305,19.2465043757504,1.13165198585732
"F59818","F59896",2022-10-13,"Roach",27,235,418,16.0724369409668,1.30945193359733
"F59818","F59896",2022-10-14,"Roach",50,166,387,17.9604130691785,0.962445258569937
"F59818","F59896",2022-10-15,"Roach",18,72,218,15.0153854388903,0.693566782414538
"F59818","F59896",2022-10-16,"Roach",18,78,217,14.819618532461,0.511771059031098
"F59818","F59896",2022-10-17,"Roach",19,119,382,13.771764950991,0.511153628973759
"F59818","F59896",2022-10-18,"Roach",56,387,1179,9.85344726756598,0.548865099334954
"F59818","F59896",2022-10-19,"Roach",18,115,347,13.5601183660315,0.835379853006709
"F59818","F59896",2022-10-20,"Roach",0,0,0,13.8416100341261,12.371528358717
"F59818","F59896",2022-10-21,"Roach",0,0,0,18.9267215796085,12.3725090988612
"F59818","F59896",2022-10-22,"Roach",0,0,0,14.9692203765238,12.3701168640758
"F59818","F59896",2022-10-23,"Roach",0,0,0,13.4190135368513,12.3699601689353
"F59818","F59896",2022-10-24,"Roach",0,0,0,16.8443452764474,12.3738816600761
"F59818","F59896",2022-10-25,"Roach",0,0,0,22.3365583611115,12.3770011623838
"F59818","F59896",2022-10-26,"Roach",0,0,0,24.3401475552151,12.3863393692167
"F59818","F59896",2022-10-27,"Roach",0,0,0,22.3887443386864,12.3744050415309
"F59818","F59896",2022-10-28,"Roach",0,0,0,15.8906073061807,12.3807059432386
"F59818","F59896",2022-10-29,"Roach",0,8,61,13.2609730438655,5.74896726235935
"F59818","F59896",2022-10-30,"Roach",0,0,28,13.0264648833533,7.48434348698529
"F59818","F59897",2022-09-27,"Roach",0,0,0,31.6659085925003,14.9576852580377
"F59818","F59897",2022-09-28,"Roach",8,10,16,38.8497141630472,2.21235477645058
"F59818","F59897",2022-09-29,"Roach",0,0,5,37.6700197161705,7.04168760182084
"F59818","F59897",2022-09-30,"Roach",0,0,20,34.327513779713,6.14785607655906
"F59818","F59897",2022-10-01,"Roach",0,0,17,37.0685484698734,7.52769382971993
"F59818","F59897",2022-10-02,"Roach",2,26,16,29.8945931585224,2.56527186702755
"F59818","F59897",2022-10-03,"Roach",22,61,107,22.2511742605483,2.55915535226558
