"Prey_ID","Pred_ID","Species","total_encounters_high_conf","total_encounters_probable","total_encounters_possible","min_distance","mean_distance","n_days","n_days_high_conf","n_days_probable"
"F59861","F59894","Perch",292,1510,3029,0.471940392320303,19.3340113989695,34,11,20
"F59869","F59898","Perch",289,2066,2260,0.939686179720679,21.8536296216357,34,14,20
"F59874","F59897","Perch",288,3012,5836,1.10130439552552,20.6310199801119,34,17,25
"F59839","F59895","Perch",285,1965,4560,0.483445661360218,20.9266756838179,33,26,29
"F59869","F59894","Perch",279,891,1837,0.651255917293401,18.1018653669074,34,12,18
"F59879","F59896","Perch",277,1773,4511,0.563810870311645,19.3039410945141,33,21,23
"F59870","F59896","Perch",270,1234,2475,0.57184175548648,18.9554877608871,34,16,18
"F59852","F59894","Perch",265,1038,3196,0.753217999339814,20.3706403282595,30,9,15
"F59747","F59895","Perch",262,2061,4526,0.698054708931627,20.515037161985,33,18,23
"F59853","F59898","Perch",260,1644,935,1.294703295705,17.6630269510412,27,4,7
"F59872","F59894","Perch",259,1338,1467,0.741224910786031,20.7401133005154,34,17,21
"F59845","F59896","Perch",258,1542,3318,0.68803485867014,20.2829881371888,33,12,18
"F59850","F59898","Perch",258,2175,2094,0.582450586161426,18.3998022593623,34,10,20
"F59849","F59894","Perch",255,1186,2726,0.931266744678191,19.913033083125,16,9,10
"F59877","F59897","Perch",254,2060,2102,0.94628125328373,22.4855453108374,34,14,20
"F59855","F59897","Perch",250,1368,1789,0.438803262491526,22.9086593487041,34,22,29
"F59859","F59896","Perch",248,1660,2573,0.729214294368444,19.881608410286,34,18,22
"F59870","F59897","Perch",246,773,1516,0.972642350669456,21.3358092775159,34,22,27
"F59842","F59897","Perch",241,2235,5518,0.475100228522327,19.4389222831557,33,14,22
"F59842","F59895","Perch",239,1849,2948,0.906328079322877,21.1440151333692,33,13,19
"F59855","F59895","Perch",231,1034,1855,0.785965940614556,22.4654607139048,33,20,28
"F59841","F59898","Perch",230,2081,2539,0.778628192431229,21.0145253507116,34,20,28
"F59844","F59894","Perch",227,943,2676,0.538079675372459,20.3837870192298,34,12,17
"F59841","F59896","Perch",223,1414,4605,0.664332767286577,17.5827639298719,34,14,19
"F59840","F59895","Perch",222,732,1641,0.818684915533837,21.09140338839,33,11,22
"F59854","F59897","Perch",222,817,3005,0.643131741167291,20.3386290589372,34,14,24
"F59864","F59895","Perch",221,1276,4234,0.952135943799982,20.5073952580568,33,16,23
"F59879","F59894","Perch",221,1646,2609,0.770508822048503,18.49805366394,34,7,14
"F59848","F59894","Perch",220,1013,1235,1.1099001635471,22.3994724558761,34,8,18
"F59851","F59894","Perch",219,559,948,0.585418375069699,24.2897867441952,34,7,8
"F59858","F59897","Perch",218,615,1034,1.47337222734833,22.6370517709984,34,16,21
"F59872","F59896","Perch",218,1051,2791,0.581084132663576,20.9971941331753,34,14,19
"F59878","F59895","Perch",216,1069,2584,0.871631037288472,21.3803755579271,24,10,11
"F59871","F59894","Perch",215,1094,1512,0.913645120102213,21.7609176771307,34,6,13
"F59856","F59897","Perch",213,1381,2241,1.0854682995526,19.9820495921519,34,17,25
"F59855","F59896","Perch",210,1280,2208,0.637487243157479,19.6526053415825,34,19,23
"F59846","F59897","Perch",208,914,1381,0.553091357744291,26.0752577254996,34,12,23
"F59852","F59895","Perch",208,1312,2390,0.630366364942815,20.4513079792458,30,13,19
"F59864","F59894","Perch",206,1283,2077,0.506753256735315,21.148609945526,34,11,19
"F59866","F59895","Perch",203,1178,4187,0.528824743199643,22.30134406698,27,14,23
"F59858","F59895","Perch",202,1364,1925,0.858446097202852,21.3171418285023,33,15,20
"F59859","F59897","Perch",202,983,1690,1.25889460047012,21.9712164667796,34,20,26
"F59864","F59897","Perch",202,1643,3771,1.13081101152791,22.0665579099793,34,19,28
"F59879","F59897","Perch",202,825,2566,0.832053105249513,19.9701371596678,34,15,24
"F59868","F59896","Perch",199,1208,2006,1.12113193492235,18.758912287818,33,13,17
"F59843","F59896","Perch",197,1116,1312,0.818693706237453,22.0408969593884,34,9,13
"F59846","F59895","Perch",197,1429,2781,0.807457624578371,23.5850834457128,33,19,26
